gene	transcript	n_transcript	n_gene
DDX11L1	NR_046018.2	1	1
WASH7P	NR_024540.1	1	1
MIR6859-1	NR_106918.1	1	1
MIR1302-2	NR_036051.1	1	1
FAM138A	NR_026818.1	1	1
OR4F5	NM_001005484.1	1	1
LOC729737	NR_039983.2	1	1
LOC100132287	NR_028322.1	1	1
OR4F29	NM_001005221.2	1	1
LOC101928626	NR_125957.1	1	1
MIR12136	NR_162149.1	1	1
OR4F16	NM_001005277.1	1	1
LOC100133331	NR_028327.1	1	1
LOC100288069	NR_033908.1	1	1
FAM87B	NR_103536.1	1	1
LINC00115	NR_024321.1	1	1
FAM41C	NR_027055.1	1	1
SAMD11	NM_152486.3	1	1
NOC2L	NM_015658.4	1	1
KLHL17	NM_198317.3	1	1
ISG15	NM_005101.4	1	1
LOC100288175	NR_148960.1	1	1
RNF223	NM_001205252.2	1	1
LINC01342	NR_038869.1	1	1
MIR200B	NR_029639.1	1	1
MIR200A	NR_029834.1	1	1
MIR429	NR_029957.1	1	1
TNFRSF4	NM_003327.4	1	1
B3GALT6	NM_080605.4	1	1
C1QTNF12	NM_001014980.3	1	1
ACAP3	NM_030649.3	1	1
MIR6726	NR_106784.1	1	1
SNORD167	NR_145806.1	1	1
MIR6727	NR_106785.1	1	1
CPTP	NM_001029885.2	1	1
TAS1R3	NM_152228.3	1	1
MIR6808	NR_106866.1	1	1
MRPL20-AS1	NR_015434.1	1	1
TMEM88B	NM_001146685.1	1	1
ATAD3C	NM_001039211.3	1	1
TMEM240	NM_001114748.2	1	1
SSU72	NM_014188.3	1	1
FNDC10	NM_001242659.2	1	1
LOC105378586	NR_147951.1	1	1
MMP23B	NM_006983.2	1	1
MMP23A	NR_002946.1	1	1
TMEM52	NM_178545.4	1	1
CFAP74	NM_001304360.2	1	1
GABRD	NM_000815.5	1	1
LOC105378591	NR_135509.1	1	1
PRKCZ-AS1	NR_146290.1	1	1
SKI	NM_003036.4	1	1
LOC100129534	NR_024489.1	1	1
RER1	NM_007033.5	1	1
PANK4	NM_018216.4	1	1
HES5	NM_001010926.4	1	1
TNFRSF14-AS1	NR_037844.2	1	1
LOC100996583	NR_121638.1	1	1
MMEL1	NM_033467.4	1	1
TTC34	NM_001242672.2	1	1
ACTRT2	NM_080431.5	1	1
MIR4251	NR_036215.1	1	1
ARHGEF16	NM_014448.4	1	1
MEGF6	NM_001409.4	1	1
MIR551A	NR_030277.1	1	1
TPRG1L	NM_182752.4	1	1
