gene	transcript	n_transcript	n_gene
LINC01128	NR_047521.1,NR_047526.1,NR_047524.1,NR_047523.1,NR_047519.1,NR_047525.1	6	1
LINC02593	NR_026874.2,NR_122045.1	2	1
PLEKHN1	NM_032129.3,NM_001367552.1,NM_001160184.2	3	1
PERM1	NM_001291366.2,NM_001369898.1,NM_001369897.1,NM_001291367.2	4	1
HES4	NM_021170.4,NM_001142467.2	2	1
AGRN	NM_198576.4,NM_001305275.2,NM_001364727.2	3	1
C1orf159	NM_001363525.2,NM_017891.5,NM_001330306.2	3	1
TTLL10	NM_001371649.1,NM_001130045.2,NM_153254.3	3	1
TNFRSF18	NM_004195.3,NM_148902.2,NM_148901.2	3	1
SDF4	NM_016547.2,NM_016176.4	2	1
UBE2J2	NM_058167.3,NM_194315.2,NM_194457.2,NM_194458.1	4	1
SCNN1D	NR_037668.2,NM_001130413.4	2	1
PUSL1	NM_001346116.1,NR_144369.1,NM_153339.3	3	1
INTS11	NM_001256462.1,NM_001256460.1,NM_001256456.1,NM_001256463.2,NM_017871.6	5	1
DVL1	NM_004421.3,NM_001330311.2	2	1
MXRA8	NM_001282582.1,NM_001282585.1,NM_001282584.1,NM_032348.4,NM_001282583.2	5	1
AURKAIP1	NM_001127230.2,NM_017900.3,NM_001127229.2	3	1
CCNL2	NM_001350499.2,NM_001350500.2,NR_135154.2,NM_001350497.1,NR_146722.2,NM_001350498.2,NM_030937.6,NM_001320153.3,NM_001320155.3,NR_146723.2,NM_001039577.4	11	1
MRPL20	NM_001318485.2,NM_017971.4	2	1
ANKRD65	NM_001243535.2,NM_001145210.2,NM_001243536.2	3	1
LINC01770	NR_125996.1,NR_125995.1,NR_125994.1	3	1
VWA1	NM_199121.3,NM_022834.5	2	1
ATAD3B	NM_031921.6,NM_001317238.2	2	1
ATAD3A	NM_001170535.3,NM_018188.5,NM_001170536.2	3	1
MIB2	NM_001170688.1,NM_001170687.2,NR_033183.2,NM_080875.3,NM_001170686.2,NM_001170689.2,NR_146324.2	7	1
CDK11B	NM_033486.3,NM_001291345.2,NM_033489.3,NM_033490.3,NM_033487.3,NM_001787.3	6	1
SLC35E2B	NM_001290264.2,NM_001110781.3	2	1
CDK11A	NR_132740.2,NM_024011.4,NM_033529.4,NR_132739.2,NM_001313982.2,NM_001313896.2	6	1
SLC35E2A	NM_001199787.1,NM_182838.2	2	1
NADK	NM_001198993.2,NM_001198995.1,NM_001353641.2,NM_023018.5,NM_001198994.2,NM_001353642.2	6	1
GNB1	NM_001282539.1,NM_001282538.1,NM_002074.5	3	1
CALML6	NM_138705.4,NM_001330313.2	2	1
PRKCZ	NM_002744.6,NM_001350804.1,NM_001033581.2,NM_001350806.1,NM_001350803.1,NR_146911.1,NM_001350805.1,NM_001242874.2,NM_001033582.2	9	1
FAAP20	NM_001146310.1,NM_001282671.1,NM_001282672.1,NM_001282673.1,NM_001256945.1,NM_001256947.1,NM_182533.3,NM_001282670.1,NR_046427.1,NM_001256946.1	10	1
MORN1	NM_024848.3,NM_001301060.2,NR_125361.2	3	1
PEX10	NM_153818.1,NM_002617.3	2	1
PLCH2	NM_001303012.2,NM_014638.4,NM_001303013.1	3	1
TNFRSF14	NM_001297605.1,NM_003820.3	2	1
PRXL2B	NR_036637.2,NR_036638.2,NM_152371.5,NM_001195738.3,NM_001195740.3,NM_001195741.3,NM_001195737.3,NM_001195736.3	8	1
PRDM16-DT	NR_015440.1,NR_024371.1	2	1
PRDM16	NM_199454.3,NM_022114.4	2	1
TP73	NM_001204186.2,NM_001204184.2,NM_001204185.2,NM_005427.4,NM_001204187.1,NM_001204188.1,NM_001204190.2,NM_001126242.3,NM_001204191.2,NM_001126241.3,NM_001126240.3,NM_001204189.2,NM_001204192.2	13	1
TP73-AS1	NR_033712.1,NR_033708.1,NR_033709.1,NR_033711.1,NR_033710.1	5	1
SMIM1	NM_001288583.1,NM_001163724.2	2	1
DFFB	NM_001282669.1,NM_001320136.2,NR_135151.2,NM_001320132.2,NM_004402.4,NR_135150.2,NR_104222.2,NR_135152.2	8	1
AJAP1	NM_018836.4,NM_001042478.2	2	1
NPHP4	NR_111987.2,NM_001291594.2,NM_001291593.2,NM_015102.5	4	1
KCNAB2	NM_001199861.2,NM_003636.4,NM_172130.3,NM_001199860.2,NM_001199862.2,NM_001199863.2	6	1
ACOT7	NM_007274.3,NM_181866.3,NM_181864.3,NM_181865.3	4	1
ESPN	NM_001367473.1,NM_031475.3,NM_001367474.1	3	1
PLEKHG5+TNFRSF25	NM_148966.1,NM_003790.2,NM_148967.1,NM_148970.1,NM_148965.1,NM_001039664.1,NM_001042665.1,NM_001042664.1,NM_001265593.1,NM_001265592.1,NM_001265594.2,NM_001042663.2,NM_198681.3,NM_020631.5	14	2
TAS1R1	NM_177540.3,NM_138697.4	2	1
ZBTB48	NM_001278648.2,NM_001278647.2,NM_005341.4	3	1
KLHL21	NM_001324309.2,NM_014851.4	2	1
THAP3	NM_001195753.1,NM_001195752.1,NM_138350.3	3	1
LINC01672	NR_104620.1,NR_104621.1	2	1
CAMTA1	NR_146202.1,NM_001242701.1,NR_038934.1,NM_001349608.2,NM_001349609.2,NM_001349610.2,NM_001195563.2,NR_146203.2,NM_001349627.2,NM_001349612.2,NR_146204.2,NM_015215.4,NM_001349623.1,NM_001349621.1,NM_001349614.1,NM_001349620.1,NM_001349625.1,NM_001349617.1,NM_001349613.1,NM_001349626.2,NM_001349622.2,NM_001349616.2,NM_001349624.3,NM_001349618.2,NM_001349615.2,NM_001349619.2	26	1
CAMTA1-AS2	NR_146199.1,NR_146201.1,NR_146200.1	3	1
PER3	NM_016831.3,NM_001289863.2,NM_001289864.2,NM_001289862.1,NM_001289861.1	5	1
UTS2	NM_006786.4,NM_021995.2	2	1
PARK7	NM_001123377.1,NM_007262.5	2	1
RERE	NM_012102.4,NM_001042682.2,NM_001042681.2	3	1
ENO1	NM_001428.5,NM_001353346.3,NM_001201483.4	3	1
CA6	NM_001270501.2,NM_001215.4,NM_001270500.2,NM_001270502.2	4	1
SLC2A5	NM_001328620.2,NM_001328621.2,NM_003039.3,NM_001328619.2,NM_001135585.2	5	1
MIR34A+MIR34AHG	NR_132742.1,NR_029610.1	2	2
H6PD	NM_004285.4,NM_001282587.2	2	1
LINC02606	NR_104623.2,NR_104622.2	2	1
TMEM201	NM_001130924.3,NM_001010866.4	2	1
PIK3CD	NM_005026.5,NM_001350234.2,NM_001350235.1	3	1
PIK3CD-AS2	NR_126367.1,NR_126366.1,NR_126368.1	3	1
CLSTN1	NM_001009566.3,NM_001302883.1,NM_014944.4	3	1
CTNNBIP1	NM_001012329.2,NM_020248.3	2	1
LZIC	NM_001316975.2,NM_001316976.2,NM_001316974.2,NM_001316973.2,NM_032368.5	5	1
NMNAT1	NM_001297778.1,NM_001297779.2,NM_022787.4	3	1
RBP7	NR_138250.2,NM_052960.3	2	1
UBE4B	NM_001105562.3,NM_006048.5	2	1
KIF1B	NM_001365951.2,NM_183416.4,NM_015074.3,NM_001365952.1,NM_001365953.1	5	1
PGD	NM_001304452.2,NM_002631.4,NM_001304451.2	3	1
CORT+CENPS+CENPS-CORT	NM_199006.3,NM_199294.3,NM_198544.4,NM_001270517.2,NR_037187.2,NM_001243768.2,NR_036462.2,NM_001302.5	8	3
DFFA	NM_004401.3,NM_213566.2	2	1
CASZ1	NM_001079843.3,NM_017766.5	2	1
C1orf127	NM_001366227.1,NM_001170754.1	2	1
MASP2	NM_006610.4,NM_139208.3	2	1
EXOSC10	NM_002685.4,NM_001001998.3	2	1
EXOSC10-AS1	NR_135061.1,NR_135062.1,NR_135063.1	3	1
UBIAD1	NM_013319.2,NM_001330350.1,NM_001330349.1	3	1
FBXO44	NM_001304791.2,NM_183412.3,NM_001330355.1,NM_001304790.1,NR_130909.1,NM_183413.2,NM_001014765.1,NM_033182.7	8	1
MAD2L2	NM_006341.4,NM_001127325.1	2	1
AGTRAP	NM_001040196.1,NM_001040195.1,NM_001040197.1,NM_001040194.1,NM_020350.5	5	1
MTHFR	NM_005957.5,NM_001330358.1	2	1
CLCN6+NPPA-AS1	NR_046428.1,NM_001256959.1,NM_001286.4,NR_037806.1	4	2
PLOD1	NM_001316320.2,NM_000302.4	2	1
MFN2	NM_001127660.1,NM_014874.4	2	1
TNFRSF8	NM_001243.5,NM_001281430.2	2	1
TNFRSF1B+MIR7846	NR_107000.1,NM_001066.3	2	2
VPS13D	NM_015378.4,NM_018156.4	2	1
DHRS3	NM_001324370.2,NM_004753.7,NM_001319225.2	3	1
AADACL3	NM_001103170.3,NR_111984.2	2	1
C1orf158	NM_001330361.2,NM_152290.4	2	1
PRAMEF1	NM_023013.4,NM_001294139.1	2	1
PDPN	NM_006474.4,NM_198389.2,NM_001006624.2,NM_001006625.2	4	1
PRDM2	NM_001135610.2,NM_012231.4,NM_015866.4,NM_001007257.3	4	1
KAZN	NM_201628.3,NM_001370230.1,NM_015209.2,NM_001018000.3,NM_001370229.1,NM_001370231.1,NM_001018001.2,NM_001017999.2	8	1
TMEM51	NM_001136217.1,NM_001136216.2,NR_135082.2,NM_001319665.2,NM_001136218.2,NM_018022.3	6	1
C1orf195	NM_001278502.1,NM_001278501.1	2	1
FHAD1-AS1	NR_148918.1,NR_148919.1	2	1
CASP9	NR_102732.1,NM_001278054.1,NR_102733.1,NM_001229.5,NM_032996.3	5	1
DNAJC16	NM_001287811.1,NM_015291.4,NR_109898.2	3	1
RSC1A1+DDI2	NM_032341.5,NM_006511.2	2	2
FBLIM1	NM_001350151.2,NM_001024216.3,NM_017556.4,NM_001024215.1	4	1
ZBTB17	NM_001324138.1,NM_001242884.1,NM_001324137.1,NM_003443.2,NM_001287604.1,NM_001287603.1	6	1
HSPB7	NM_001349687.1,NM_001349683.1,NM_001349685.1,NM_014424.4,NM_001349686.1,NM_001349688.1,NM_001349689.1,NM_001349682.1	8	1
CLCNKA	NM_004070.4,NM_001042704.2,NM_001257139.2	3	1
CLCNKB	NM_000085.5,NM_001165945.2	2	1
EPHA2	NM_004431.5,NM_001329090.2	2	1
SZRD1	NR_073500.2,NR_073503.2,NR_073501.2,NR_073502.2,NM_001114600.3,NM_001271869.2	6	1
SPATA21	NR_148413.1,NM_001353349.1,NM_198546.1	3	1
NECAP2	NM_001145278.1,NM_001145277.1,NM_018090.5	3	1
LINC01772	NR_147210.1,NR_147211.1	2	1
MST1L+LOC102724562	NM_001271733.1,NR_135824.1	2	2
LOC112267871	NR_160657.1,NR_160658.1	2	1
